drug_1_name,drug_2_name,weight
Torasemid,Gemfibrozil,2
Mirtazapine,Hydrokodon,2
Konivaptan,Paklitaksel,1
Teofilina,Bisoprolol,1
PROCYCIDINE,Fentanyl,1
Erlotynib,Kobikistat,1
Gliburyd,Lanreotyd,0
Promazina,Talidomid,4
Droperidol,Duloksetyna,0
Carfilzomib,Lumactaftor,1
Tranilcypromina,Lewonordefryna,2
Nateglinyd,Alogliptyna,4
Buprenorfina,Chlorfeniramina,1
Pirydoksyna,Fentoina,2
Secobarbital,Nitrogliceryna,0
Deksametazon,Sunitynib,4
Triflupromazyna,Wortioksetyna,3
Dapson,Rifapencja,3
MetotrimePrazine,Flibanserina,0
Duloksetyna,Molindon,3
Toldaptan,Luliconazol,3
Siarczan magnezu,Asenapina,1
Cetyryzyna,Mirtazapine,2
Colchicyna,Stiripentol,0
Metazolamid,Fenelzine,2
Chlorstalidon,Fenelzine,3
Sirolimus,Tolbutamid,1
Prochlorperazina,Hydrokodon,1
PROCYCIDINE,Dimenhydrunat,4
Chinidyna,Idelalisib,4
Ritonawir,Tamsulosina,3
Trimetoprim,Moeksipril,0
Abciksimab,Cangrelor,1
Mitotane,Riociguat,3
Dicoumarol,Desipramina,0
Heksobarbital,Dinuteuksimab,4
Darifenacyna,Palbocyclib,3
Gliklazyd,Sparfloksacyna,1
Antitymocyt immunoglobulina (królik),Tofacitynib,0
Eszopiclon,Azelastyna,2
Amlodypina,Amodiaquine,4
Reserpina,Afatynib,1
Chlorpromazyna,Buspiron,4
Dimenhydrunat,Orphenadryna,2
Klarytromycyna,Deksametazon,2
Sorafenib,Irinotecan,3
Flukonazol,Tolbutamid,1
Indometacyna,Trichlormetiazyd,3
Flufenazyna,Naratriptan,4
Mifepriston,Pimozyd,1
Docetaksel,Siltuksimab,3
Fluoksetyna,MetotrimePrazine,4
Triazolam,Azelastyna,1
Paliperydon,Fosfofenytoina,1
Minocyklina,Estazolam,3
Amoksapina,Panobinostat,2
Rifabutina,Fosamprenawir,3
Metyrozyna,Clonazepam,3
Piroksicam,Kwas cytrynowy,2
Esmolol,Karwedilol,0
Posakonazol,Lurasidon,4
Capromab pendetyd,Prednizon,1
Riboflavina,Werteporfina,4
Telitromycyna,Tasimelteon,1
Amitriptlina,Diklofenak,1
Trebrostinil,Desirudina,1
Linezolid,Benzquinamid,2
Hydromorphon,Mirtazapine,1
Droperidol,Ivabradyna,0
Beksaroten,Docetaksel,0
Sulpiryd,Imipramina,4
Bacofen,Butabarbital,4
Bromfeniramina,Hydrokodon,2
Tramadol,Almotriptan,3
Kalcytriol,Siarczan magnezu,2
Etanol,Izometepen,0
Simeprewir,Sondegib,3
Fluisolid,Osimertynib,0
Abciksimab,Limaprost,4
Aldesleukina,Kofeina,1
Propranolol,Doksofilina,0
Metoklopramid,Milnacipran,1
Liotironina,Glukonat wapnia,1
Olanzapina,Fentanyl,2
Ondansetron,Escitalopram,3
Pantoprazol,Abirateron,0
Nabilon,Arypiprazol,1
Kultury,Granisetron,4
Fentanyl,Nefazodon,1
Ketorolak,Meloksykam,1
Prymidon,Eprosartan,3
Tolcapon,Rasagilina,2
Midodryna,Dobutamina,3
Prilokaina,Fenobarbital,4
Nalokson,Metylornaltrekson,0
Aldesleukina,Labetalol,4
Doksycylina,Cykacylina,3
Loksapine,Trazodon,3
Cisapryd,Saquinawir,4
Cyklosporyna,Ticagrelor,3
Kultury,Perfenazyna,1
Ritonawir,Etrawiryna,4
Arypiprazol,Panobinostat,0
Olanzapina,Paroksetyna,1
Metoksamina,Kokaina,4
Metroheksital,Rufinamid,3
Kwas walproinowy,Worinostat,4
PROCYCIDINE,Difenhydramina,0
Flufenazyna,Darunawir,1
Tioconazol,Arypiprazol,3
Amoksapina,Amisulpryd,4
Lorazepam,Ezogabine,0
Cyproheptadyna,Selegilina,1
Desllurane,Tapentadol,2
Brimondyna,Buprenorfina,0
Butobarbitalny,Azilsartan medoksomil,0
Acenokumarol,Gestoden,4
Dyszyramid,Tiotropium,4
Esomeprazol,Kwas risedronic,0
Fondaparinuks,Pentosan polisulfat,3
Atenolol,Glycopirronium,3
Deferasiroks,Ivabradyna,1
Torasemid,Terbutalina,4
Zolpidem,MetotrimePrazine,1
Siarczan magnezu,Midazolam,2
Lopinawir,Canagliflozyna,2
Fentoina,Disulfiram,0
Lorazepam,Sevoflurane,4
Topiramat,Acetazolamid,3
Clobazam,Mefloquine,1
Bosentan,Pazopanib,3
Indometacyna,Dasatynib,1
Mianserina,Fosforan Tedizolidu,4
Lewomilnacipran,Palbocyclib,0
Retplaze,Desvenlafaksine,1
Tormifen,Klarytromycyna,1
Fondaparinuks,Meloksykam,1
Prymenid,Sparfloksacyna,3
Pimecrolimus,Mitokantrola,4
Butalbitalny,Norepinefryna,2
Bumetanid,Molsidomine,4
Amitriptlina,Fenylefryna,2
Aldesleukina,Heksobarbital,2
Triflupromazyna,Isocarboksazid,2
Celecoksib,Mekamyloamina,2
Tolterodina,Kobikistat,1
Fluorouracyl,Acenokumarol,4
Isradypina,Dabrafenib,4
Dronabinol,Fenobarbital,2
Fenelzine,Mepivacaine,0
Nafazolina,Wilanderol,2
Amlodypina,Cimetidyna,4
Ezetimibe,Fenofibrat,1
Insulina Lispro,Insulina degludec,3
Imipramina,Chinidyna,1
Simeprewir,Eslicarbazepine octan,4
Karbamazepina,Nifedipina,3
Trympramina,Mirabegron,0
Citalopram,Tizanidine,4
Duloksetyna,Flufenazyna,1
Klozapina,Enzalutamid,2
Fenelzine,Glycopirronium,1
Guanfacyna,Bretylium,2
Lisinopril,Lewodopa,4
Sulfizoksazol,Lercanidypina,4
Eteksylan dibagatranu,Collagenase Clostridium Histolitum,1
Teofilina,Fenoterol,3
Tamsulosina,Felodipina,3
Paroksetyna,Gabapentin EnaCarbil,4
Lapatynib,Deferasiroks,3
Amikacja,Ibandronat,3
Linezolid,Trympramina,0
Ketorolak,Oksaprozyna,3
Woriconazol,Meloksykam,3
Mekamyloamina,Neomycyna,4
Chlorochina,Nebivolol,1
Pimozyd,Posakonazol,2
Rifapencja,Tasimelteon,1
Fenoterol,Armodafinil,3
Oktreotyd,Pasireotyd,4
Klarytromycyna,Prenyloaminę,2
Buprenorfina,Rasagilina,3
Eliglustat,Idelalisib,3
Liotironina,Trympramina,3
Flukonazol,Siarczan magnezu,3
Trifluperazine,Metamfetamina,3
Linagliptyna,Dienogest,4
Dicoumarol,Posakonazol,2
Tranilcypromina,Tapentadol,0
Pentosan polisulfat,Kwas tiaproofenowy,2
Fenmetrazine,Olodaterol,3
Fludrokortyzon,Noetisteron,4
Interferon alfa-n3,Klozapina,3
Telitromycyna,Saksagliptina,1
Cilostazol,Limaprost,0
Capromab pendetyd,Norgestive,0
Nimodypina,Dziurawiec,4
Amikacja,Meticillina,0
Kwas pamidroniczny,Sulindak,4
Tirofiban,Limaprost,4
Ibuprofen,Dalteparna,2
PROCYCIDINE,Skopolamina,3
Olmesartan,Perindopril,1
Haloperidol,Oksaprozyna,1
Kwas risedronic,Fenoksybenzamina,4
Karbenicylina,Neomycyna,1
Fenelzine,Ramosetron,4
Tiklopidyna,Fentoina,2
Fluwoksamina,Liotironina,3
Amfetamina,Desipramina,4
Retplaze,Tolmetina,2
Flurazepam,Dabrafenib,4
Werapamil,Dronedaron,1
Pantoprazol,Tipranawir,4
Triflupromazyna,Wilazodon,2
MedroksyProgesterone octan,Sulodeksyd,0
Pemetreksed,Denosumab,1
Ketoprofen,Hydralazina,1
Secobarbital,Norgestive,4
Ridogrel,Acenokumarol,1
Diflunisal,Deferasiroks,2
Zolmitriptan,Sulpiryd,2
Citalopram,Błękit metylenowy,0
Lamotrygina,Fosfofenytoina,1
Dactinomycyna,Leflunomyd,2
Metformina,Trichlormetiazyd,0
Alteplaze,Lewomilnacipran,1
Droperidol,Guanfacyna,1
Cimetidyna,Fezoterodina,3
Tramadol,Chinidyna,2
Erytromycyna,Fosaprepitant,1
Wincristyna,Darunawir,2
Trandolapril,Lewodopa,4
Nafcillina,Klarytromycyna,0
Prednizon,Besylan atracurium,1
Sirolimus,Idelalisib,4
Cinacalcet,Nebivolol,1
Timolol,Nicorandil,1
Skopolamina,Tiotropium,3
Newirapine,Arypiprazol,4
Indinewir,Rosuvastatyna,3
Dobutamina,Lisdeksamfetamina,0
Perfenazyna,Prokarbazyn,3
Tlenek magnezu,MetotrimePrazine,3
Anagrelid,Fondaparinuks,1
Kultury,Tapentadol,4
Prrazosina,Nadolol,0
Silodozyna,Dabrafenib,4
Torasemid,Insulina detemir,4
Rasagilina,Amisulpryd,4
Aprepitant,Alfentanil,3
Erytromycyna,Rilpiwiryna,1
Klarytromycyna,Marawiroc,3
Cefadroksil,Kwas picosulfurowy,2
Flukonazol,Losartan,2
Kwas deoksycholowy,Sulodeksyd,0
Cilostazol,Idelalisib,2
Mezorydazyna,Selegilina,4
Mitotane,Nefazodon,2
Ipratropium,Labetalol,0
Bosentan,Pipotiazyna,3
Tormifen,Mifepriston,2
Memantyna,Ketamina,4
Mezorydazyna,Dekstroamphetamina,1
Kwas fusydowy,Fosaprepitant,3
Pravastatyna,Efawirenz,3
Mitotane,Delavirdine,0
Oksycodon,Stiripentol,2
PHENPROUMON,ICOSAPENT EXYL,0
Perindopril,Tadalafil,4
Ketokonazol,Trastuzumab Emtansine,4
Framycetyn,Rocuronium,2
Everolimus,Eliglustat,2
Dicoumarol,Argatroban,2
Warfaryna,Heparyna,4
Metformina,Ioksilan,4
Aspiryna,Eluksadlina,4
Sucykinylocholina,Minocyklina,2
Benzquinamid,Phendimetrazine,3
Duloksetyna,Kwasy tłuszczowe omega-3,0
Fenobarbital,Eteksylan dibagatranu,4
Etanol,Talidomid,2
Metformina,Darunawir,0
Efawirenz,Dabrafenib,3
Akarboza,Kwas salicylowy,1
Chlorochina,Simeprewir,4
Linezolid,Sertindole,2
Bortezomib,Diazepam,3
Kwas pamidroniczny,Sorafenib,2
Desmopressina,Buprenorfina,3
Wenlafaksine,Moklobemid,3
Midazolam,Paroksetyna,3
Chinina,Telmisartan,1
Kwas pamidroniczny,Naproksen,2
Fenmetrazine,Izometepen,1
Cilostazol,Dabrafenib,1
Klozapina,Clotiazepam,4
Aldesleukina,Tizanidine,1
Risperidon,Ramosetron,1
Aminofilina,Octan cyproteronu,0
Nadolol,Insulinay klepsyjna,4
Metipranolol,Nicorandil,1
Denosumab,Fingolimod,0
Bortezomib,Bosentan,0
Woriconazol,Marawiroc,1
Hydroksyzyna,Cimetropium,2
Toksyna botulinowa typu A,Dimenhydrunat,4
Doofetiled,Isoflurane,0
Indometacyna,Warfaryna,2
Paricalcytol,Orlistat,3
Ropiniol,Entakapon,3
Butabarbital,Chinapryl,1
Toksyna botulinowa typu A,Prochlorperazina,3
Enalapryl,Amifostyna,1
Butobarbitalny,Izosorbyd,2
Isradypina,Tacrolimus,4
Prednizolon,Trichlormetiazyd,0
Klarytromycyna,Everolimus,4
Piroksicam,Deksketoprofen,0
Oksycodon,Rufinamid,3
Desmopressina,Fentanyl,1
Ketokonazol,Cilostazol,2
Esmolol,Ruksolitynib,0
Metyloergometrine,Telaprewir,0
Fentoina,Kwas risedronic,0
Trazodon,Aprepitant,2
Isradypina,Trebrostinil,2
Metokarbamol,Azelastyna,3
Efawirenz,Felodipina,3
Pregabalina,Suvoreksant,1
Fenoterol,Nafazolina,3
Bacofen,Desloratadyna,1
Salmeterol,Ivacaft,3
Nelfinawir,Metadon,3
PROCYCIDINE,Metolazon,0
Benzatropina,Trichlormetiazyd,4
Goserelina,Chlorpromazyna,0
Chlorochina,Kwas azotowy,1
Pentobarbital,Imipramina,1
Propafenon,Ruksolitynib,1
Telaprewir,Eteksylan dibagatranu,2
Paracetamol,Dobutamina,0
Butobarbitalny,Dinuteuksimab,2
Amfetamina,Etosumid,3
Sulfametoksazol,Linagliptyna,1
Colestipol,Wankomycyna,3
Butabarbital,Metyldopa,0
Streptomycyna,CEFTIBUTEN,3
Fentoina,Chlorpropamid,2
Hydromorphon,Fenelzine,1
Bosentan,Panobinostat,3
Alosetron,Posakonazol,0
Besylan atracurium,Gentamy,1
Posakonazol,Barnidipina,3
Butabarbital,Azilsartan medoksomil,2
Hydrokodon,Ketokonazol,1
Minocyklina,Asenapina,3
Risperidon,Arypiprazol,0
PROCYCIDINE,Leworfanol,3
Alprazolam,Hydrokodon,4
Glimepirde,Diacetat etynodiolu,2
Kwas mefenamowy,Acenokumarol,2
Trifluperazine,Wilazodon,0
Chlorfeniramina,Catinon,4
Orcyprenalina,Doksepina,1
Kwas tiaproofenowy,Kwas deoksycholowy,0
Tobramycyna,Bekampicylina,3
Indinewir,Digoksyna,3
Kultury,Batimastat,2
Dicloksacillina,Hydrokodon,3
Imatynib,Saquinawir,3
Tiklopidyna,Propafenon,3
Etanol,Warennilina,1
Fluoksetyna,Wortioksetyna,1
Metyrozyna,Amobarbital,3
Azelastyna,kwas gamma-hydroksybutyryczny,1
Goserelina,Insulina Ludzka,2
Spironolakton,Metylofenidat,0
Diltiazem,Imatynib,3
Indometacyna,Prymenid,0
Bacofen,Chlorpromazyna,0
Tioridazine,Minocyklina,3
Marawiroc,Ivacaft,1
Pazopanib,Luliconazol,3
Demeklocyklina,Cloksacillina,4
Rifabutina,Siarczan magnezu,3
Buprenorfina,Arypiprazol,0
Kwas zoledroniczny,Tobramycyna,1
Sulpiryd,Chlorotiazid,3
Prochlorperazina,Maprotilina,1
Acenokumarol,Kwas tiaproofenowy,2
Salbutamol,Metamfetamina,4
Glikidon,Lurasidon,3
Galantamina,Molindon,1
Witamina A,Acytretina,1
Nimodypina,Netupitant,0
Haloperidol,Mirabegron,0
Tolbutamid,Insulina Ludzka,4
Quetiapine,Metamfetamina,4
Insulina Glargine,MetotrimePrazine,4
Trympramina,Tiotiksen,3
Nelfinawir,Amiodaron,4
Fentanyl,Perampanel,3
Tacrolimus,Crizotynib,1
Mezorydazyna,Moklobemid,1
Goserelina,Corifollitropin Alfa,4
Klonidyna,Bepridil,3
Oksytetracyklina,Wodorotlenek aluminium,3
Fludrokortyzon,Kwas tiaproofenowy,1
Warfaryna,Bismut subalicylan,0
Lopinawir,Elvitegrawir,3
Kwas deoksycholowy,Nadroparyna,3
Duloksetyna,Ibesartan,0
Fluisolid,Werapamil,0
Cyklosporyna,Palbocyclib,3
Granisetron,Nefazodon,0
Azelastyna,Ramelteon,1
Fluwoksamina,Kwasy tłuszczowe omega-3,0
Lamotrygina,Chlorek wapnia,3
Sulfizoksazol,Aspiryna,3
Trifluperazine,Paraldehyd,3
Mifepriston,Hydrokodon,0
Ifosfamid,Etrawiryna,4
Itrakonazol,Izawukonazol,4
Saquinawir,Dasatynib,4
Reserpina,Obinutuzumab,1
Acetazolamid,Dorzolamid,1
Lapatynib,Fosaprepitant,4
Cyklosporyna,Flurburfofen,3
PHENPROUMON,Worapaksar,4
Ipratropium,Tiotropium,0
Telmisartan,Nicorandil,0
Isocarboksazid,Tiantepine,0
Amikacja,Ticarcillina,1
Bumetanid,Canagliflozyna,4
Guanfacyna,Obinutuzumab,4
Klarytromycyna,Ponatynib,2
Mifepriston,Daclataswir,0
Pazopanib,Ivabradyna,3
Bevacizumab,Idarubicyna,3
Woriconazol,Enzalutamid,1
Midazolam,Azelastyna,2
Amoksapina,Błękit metylenowy,1
Walsartan,Ramipryl,2
Pentobarbital,Woriconazol,0
Dziurawiec,Enzalutamid,3
Fenelzine,Sertralina,0
Urokinaza,Iloprost,4
Kwas zoledroniczny,Talidomid,3
Ulipristal,Idelalisib,1
Fluisolid,Rifampicyna,3
Prochlorperazina,Rasagilina,3
Kabergolina,Timolol,0
Enzalutamid,Ponatynib,1
Doksylamine,Oksazepam,4
Zolmitriptan,Fluperiksol,4
Secobarbital,Hydroksyzyna,3
Benazepril,Kwas salicylowy,4
Milnacipran,Amisulpryd,2
Tacrolimus,Merkaptopurina,2
Betametazon,Canagliflozyna,2
Iloperidon,Rufinamid,1
Prasugrel,Sulodeksyd,3
Haloperidol,Umeclidnium,0
Oktreotyd,Lewobunolol,0
Imipramina,Hydrokodon,3
Acetazolamid,Efedryna,0
Etonogestrel,Trebrostinil,2
Bosentan,Ketokonazol,0
Amoksapina,Batimastat,4
Carisoprodol,Dabrafenib,3
Secobarbital,Meperidyna,0
Propionate Clobetasol,Ceritnib,0
Glimepirde,Hydroksyprogesteron,3
Buprenorfina,Ziconotyd,1
Ondansetron,Doksepina,2
Chinina,Benazepril,2
Fenindion,Paroksetyna,4
Dantrolen,Perampanel,3
Duloksetyna,Fengamfamina,3
Dabrafenib,Lumactaftor,4
Izosorbide mononitran,Kwas azotowy,2
Tioridazine,Fenelzine,3
Kultury,Pramlintyd,2
Glycopirronium,ACLIDIUM,3
Atropina,Cimetropium,3
Domperidon,Idelalisib,3
Citalopram,Pentonoksifylina,0
Promazina,Cyklobenzapryna,4
Metokssalen,Porfimer Sodium,2
Carbachol,Sotalol,2
Rifabutina,Imatynib,4
Meksiletyna,Tizanidine,0
Betaksolol,Dronedaron,1
Reserpina,Rivastigmine,2
Chlorotrianisen,Ospemifen,0
Rilpiwiryna,Boceprewir,0
Lansoprazol,Sofosbuwir,4
Butalbitalny,Fenylefryna,1
Fentoina,Elvitegrawir,4
Thiopental,Tioridazine,2
Metokarbamol,Pirydostigmine,2
Etonogestrel,Prymidon,1
Enoksaparina,Salsalat,1
Flokezydyna,Mestranol,2
Enfuvirtyd,Indinewir,0
Tadalafil,Izosorbide mononitran,2
Etonogestrel,Darunawir,0
Rituksimab,Pindolol,0
Trympramina,Eluksadlina,3
Arypiprazol,Danazol,2
Flekainid,Darunawir,1
Tibolon,Edoksaban,3
Saquinawir,Wildagliplina,4
Butabarbital,Prrazosina,0
Nimodypina,Tranilcypromina,4
Sorafenib,Metamizol,4
Ifosfamid,Rifapencja,3
Wodorotlenek aluminium,Pitavastatyna,2
Pravastatyna,Warfaryna,3
Bivivalirudina,Enoksaparina,1
Heparyna,Cilostazol,0
Wenlafaksine,Acetofenazyna,3
Haloperidol,Kwas mefenamowy,4
Chlorotrianisen,Pentobarbital,2
Alfuzosina,Enalapryl,3
Imipramina,Doksorubicyna,4
Amitriptlina,Risperidon,3
Prrazosina,Prymidon,2
Duloksetyna,Obinutuzumab,0
Insulina Ludzka,Ritonawir,1
Bacofen,Maprotilina,2
Midodryna,Carteolol,1
Fentoina,Ropiniol,0
Erytromycyna,Naloksegol,3
Zidovudine,Tipranawir,0
Linezolid,Desvenlafaksine,0
Alfuzosina,Klarytromycyna,2
Rytodryna,Propyloheksedryna,0
Duloksetyna,Triflupromazyna,2
Tacrolimus,Siltuksimab,4
Peginterferon alfa-2b,Ramelteon,1
Leuprolyd,Degareliks,0
Indinewir,Marawiroc,3
Fentanyl,Stiripentol,3
Cyklosporyna,Cyklofosfamid,1
Nisoldypina,Chlorek wapnia,2
Sucykinylocholina,Tobramycyna,0
Fentoina,Rotigotina,3
Halotan,Fosfofenytoina,0
Kwas edetic,Dasatynib,4
Indinewir,Isoflurofat,0
Topiramat,Flufenazyna,1
Leuprolyd,Nelfinawir,2
Lewodopa,Isocarboksazid,3
Chinina,Tranilcypromina,3
Ketokonazol,Saksagliptina,4
Teofilina,Pindolol,4
Deksametazon,Olaparib,1
Indometacyna,Pemetreksed,4
Ipratropium,Desipramina,0
Tioridazine,Perampanel,2
Temozolomid,Metamizol,3
Fentoina,Lapatynib,0
Mirtazapine,Metoklopramid,1
Zolpidem,Klonidyna,2
Mykofenolate mofetil,Esomeprazol,2
Klozapina,Insulina Ludzka,3
Bisoprolol,Tranilcypromina,3
Tizanidine,Delavirdine,3
Mifepriston,Nefazodon,0
Octan wapnia,Dekstroamphetamina,3
Oksaliplatina,Tofacitynib,4
Tacrine,Zuclopentiksol,2
Amiodaron,Acebutolol,3
Hydroksyzyna,Ramelteon,0
Toksyna botulinowa typu B,Wecuronium,3
Metaksalon,Perampanel,2
Sirolimus,Klarytromycyna,3
Tramadol,Trifluperazine,1
Teofilina,Indacaterol,2
Sertindole,Desvenlafaksine,0
Pseudoefedryna,Rytodryna,1
Oksymorphon,MetotrimePrazine,3
Witamina E,Trebrostinil,4
Chinina,Indapamid,0
Fenobarbital,Perampanel,2
Fenobarbital,Quetiapine,2
Flukonazol,Fluwastatyna,1
Pentamidyna,Insulina detemir,3
Skopolamina,Trichlormetiazyd,1
Alemtuzumab,Sipuleucel-T,0
Konivaptan,Eliglustat,1
Kodeina,Abirateron,3
Fondaparinuks,Kwas deoksycholowy,2
Omeprazol,Pazopanib,3
Acetoheksamid,Tacrolimus,2
Glimepirde,Rifampicyna,1
Butabarbital,Teniposid,2
Beksaroten,Zonisamid,4
Progesteron,Fenindion,4
Alfentanil,Tapentadol,2
Konivaptan,Ulipristal,4
Cortycotropina,Insulina detemir,2
PROCYCIDINE,Prometazyna,3
Orphenadryna,Asenapina,0
Ibuprofen,Sulodeksyd,3
Prymenid,Cefotetan,1
Octan kortyzonu,Denosumab,0
Metaminództwo,Glikidon,2
Doofetiled,Ivabradyna,2
Pentonoksifylina,Karwedilol,4
Hydralazina,Kwas tiaproofenowy,1
Nelfinawir,Zolpidem,0
Tizanidine,Metimazol,0
Aksitynib,Siltuksimab,0
Cisplatyn,Bumetanid,0
Haloperidol,Amoksapina,1
Salmeterol,Feniramina,3
Nitroprusid,Heksobarbital,0
Ziprazidon,Dekstrometorphan,0
Zolpidem,Siarczan magnezu,2
Promazina,Sumatriptan,2
Kwas pamidroniczny,Etodolak,2
Pentonoksifylina,Hydralazina,1
Sucralfat,Minocyklina,1
Budesonid,Wodorotlenek magnezu,1
Kobikistat,Imidafenacyna,0
Marawiroc,Dabrafenib,3
Triflupromazyna,Fenelzine,4
Dalteparna,Ibrrutynib,4
Nisoldypina,Simeprewir,2
Trichlormetiazyd,Desipramina,4
Retapamulina,Posakonazol,0
Ramipryl,Żelazo,3
Brimondyna,Propofol,0
Flufenazyna,Metamfetamina,1
Trandolapril,Dapoksetyna,0
Aldesleukina,DEXMEDETOMIDINE,0
Doksorubicyna,Lopinawir,0
Amlodypina,Chlorek magnezu,2
Natalizumab,Mechloretamina,0
Fosfofenytoina,Rivaroksaban,2
Etyylestradiol,Saksagliptina,1
Doofetiled,Nilotynib,3
Clidinium,Dziurawiec,3
Bivivalirudina,Ridogrel,4
Minoksidil,Fenelzine,3
Atomoksyna,Salbutamol,2
Remoksypryda,Sertralina,1
Duloksetyna,Candesartan CILEXETIL,3
Dactinomycyna,Roflumilast,3
Chinina,DOXAZOSYina,3
MedroksyProgesterone octan,Kwas mykofenolowy,4
Acetazolamid,Fosfofenytoina,4
Tiklopidyna,Arypiprazol,0
Pramipeksole,Buspiron,2
Clemastena,Hydroksyzyna,0
Phentermine,Amisulpryd,4
Teofilina,Idelalisib,0
Clomipramina,Tapentadol,4
Alteplaze,Worapaksar,3
Chinidyna,Brekspiprazol,2
Acetoheksamid,Darunawir,0
Ropiniol,Metroheksital,4
Insulina Glargine,Bendroflumetiazyd,0
Ziprazidon,Tetrabenazyna,1
Chlorochina,Acepromazyna,2
Rosiglitazon,Trichlormetiazyd,4
Azelastyna,Pomalidomid,1
Sparfloksacyna,Cynk,3
Sucykinylocholina,Amikacja,3
Alteplaze,Wenlafaksine,4
Amfetamina,Deksmetylofenidat,0
ICozapent,Desogestrel,0
Risperidon,Neirityd,0
Tranilcypromina,Eluksadlina,1
Levetiracetam,Rotigotina,3
Atazanawir,Gliklazyd,3
Karbamazepina,Fingolimod,4
Hydrokodon,Oritavancyna,2
Repaglinid,Saksagliptina,0
Fentoina,Telitromycyna,1
Sufentanil,Karwedilol,2
Flukonazol,Atorwastatyna,4
Simvastatyna,Deferasiroks,3
Diltiazem,Amlodypina,2
Eszopiclon,Mifepriston,2
Fenoksymetylopenicillina,Tobramycyna,2
Metadon,Efawirenz,3
Warfaryna,Omacetaksine Mepesuccynat,2
Amlodypina,Palbocyclib,0
Sertralina,Tiotiksen,2
Tiotiksen,Desvenlafaksine,2
Dyszyramid,Aspiryna,1
Triamteren,Diazoksyd,1
Meperidyna,Amisulpryd,0
MedroksyProgesterone octan,Colesevelam,2
Insulina Lispro,Epinefryna,3
Sufentanil,Minocyklina,4
Kwas salicylowy,Acenokumarol,2
Enoksaparina,Mestranol,0
Zolmitriptan,Chlorpromazyna,0
Fenindion,Oksaprozyna,4
Perindopril,Bismut subalicylan,4
Alprazolam,Aprepitant,0
Topiramat,Loksapine,1
Oksymetazlina,Izometepen,4
Fluisolid,Kobikistat,2
Aldesleukina,Eprosartan,0
Granisetron,Maprotilina,2
Amikacja,Ceftriakson,4
Klozapina,Camazepam,3
Prednizolon,Alogliptyna,2
Ranolazine,Konivaptan,1
Porfimer Sodium,Flurburfofen,2
Bosentan,Eksemestane,0
Noetisteron,Ulipristal,0
Morfina,Alvimopan,4
Kwas pamidroniczny,Oksaprozyna,1
Cyklosporyna,Mitotane,0
Oksycodon,Aprepitant,1
Abciksimab,Nintedanib,4
Fluisolid,Metaminództwo,0
Lovastatyna,Ritonawir,2
Ciprofloksacyna,Rasagilina,4
Primaquine,Dziurawiec,2
Gemtuzumab Ozogamycyna,Tacrolimus,1
Aldesleukina,Nicardypina,0
Trebrostinil,Rifapencja,1
Donepezil,Acepromazyna,2
Ipratropium,Pimozyd,3
Delavirdine,Olaparib,1
Peginterferon alfa-2b,Haloperidol,4
Biotyna,Karbenicylina,3
Ropiniol,Suvoreksant,1
Fenmetrazine,Iobenguan,4
Heparyna,Dalteparna,2
Aminofilina,Quazepam,4
Werapamil,Glukonat wapnia,0
Sildenafil,Sulfametoksazol,0
OksCarbazepine,Saksagliptina,1
Dipyridamole,Sulodeksyd,3
Rivaroksaban,Crizotynib,4
Fentoina,Octan kortyzonu,2
DOXAZOSYina,Moksonidyna,1
Kwas tiludroniczny,Tlenek magnezu,2
OksCarbazepine,Etanol,3
Tenofowir Dispoksil,Floctafenina,2
Esomeprazol,Posakonazol,1
Acebutolol,Obinutuzumab,1
Tocilizumab,Aksitynib,0
Nebivolol,Nilotynib,4
Efawirenz,Perampanel,2
Tadalafil,Nifedipina,0
Eprosartan,Drospirenon,3
Prednizon,Alogliptyna,2
Fluwoksamina,Difenhydramina,0
Mifepriston,MetotrimePrazine,0
Natalizumab,Windesine,4
Pimozyd,Fosaprepitant,4
Sekretny człowiek,Glycopirronium,2
Ketokonazol,Bosutynib,3
Chlorek potasu,Lewokabastyna,2
Kwas chenodeoksycholowy,Fenofibrat,0
Etonogestrel,Mifepriston,1
Topiramat,Perampanel,2
Metyrozyna,Benzquinamid,3
Chinapryl,Heksobarbital,4
Atenolol,Tofacitynib,2
Darunawir,Canagliflozyna,3
Balsalazyd,Merkaptopurina,0
Trichlormetiazyd,Insulinay klepsyjna,0
Dyszyramid,Morfina,3
Fentanyl,Itrakonazol,1
Klarytromycyna,Bedaqulina,2
Secobarbital,Rifapencja,3
Tranilcypromina,Insulina degludec,3
Alfentanil,Suvoreksant,0
Flurazepam,Metyrozyna,1
Natalizumab,Nelarabine,1
Kwas edetic,ICOSAPENT EXYL,4
Butabarbital,Siarczan magnezu,4
Bivivalirudina,Witamina E,1
Fluoksetyna,Cilostazol,1
Trichlormetiazyd,Orphenadryna,1
Nelfinawir,Teniposid,4
Butabarbital,Chloramphenicol,3
Warfaryna,Ridogrel,1
Kwas klawulanowy,Neomycyna,2
Amoksycylina,Kanamycyna,0
Almotriptan,Ketokonazol,1
Miglitol,Tranilcypromina,4
Phentermine,Reserpina,3
Delavirdine,Nebivolol,3
Klonidyna,Paraldehyd,4
Prymidon,Orlistat,0
Mirtazapine,Metyrozyna,1
Saquinawir,Lacosamid,4
Pentobarbital,Empagliflozyna,0
Tacrine,Cortycotropina,4
Gliburyd,Eksenatyd,0
